cell_id,method,reference_method,groups_total,groups_jointly_verified,paired_variants,feasibility_rate_difference,feasibility_ci_low,feasibility_ci_high,score_difference,score_ci_low,score_ci_high,wilcoxon_p_raw,wilcoxon_p_holm
iid_small,load_balanced,deterministic_lns,12,12,24,0.0,0.0,0.0,6.069050155890625,4.259425527658189,7.6476394844395905,0.0009765625,0.0234375
ood_dense_precedence,deterministic_lns,assignment_milp,12,6,6,0.041666666666666664,0.0,0.125,-18.32764424129162,-26.00621799560805,-12.069900033516381,0.03125,0.4375
ood_dense_precedence,greedy,assignment_milp,12,6,6,0.041666666666666664,0.0,0.125,7.7855766996174935,2.057698527583613,12.086656503897004,0.0625,0.5625
ood_dense_precedence,hungarian,assignment_milp,12,6,6,0.08333333333333333,0.0,0.20833333333333334,1.2464157813652033,-2.540937590592302,4.904163088962839,0.5625,1.0
ood_dense_precedence,load_balanced,assignment_milp,12,6,6,0.041666666666666664,0.0,0.125,-6.026330214198302,-12.753060373962207,0.07877144719951919,0.15625,0.9375
ood_dense_precedence,assignment_milp,deterministic_lns,12,6,6,-0.041666666666666664,-0.125,0.0,18.32764424129162,12.069900033516381,25.982917124971454,0.03125,0.4375
ood_dense_precedence,greedy,deterministic_lns,12,6,6,0.0,-0.125,0.125,26.113220940909112,16.10100081665039,34.90438518280258,0.03125,0.4375
ood_dense_precedence,hungarian,deterministic_lns,12,6,6,0.041666666666666664,-0.08333333333333333,0.16666666666666666,19.57406002265682,14.739677441032946,26.670350647753423,0.03125,0.4375
ood_dense_precedence,load_balanced,deterministic_lns,12,6,7,0.0,0.0,0.0,12.82712766888613,10.791859148092726,14.802254481291067,0.03125,0.4375
ood_resource_bottleneck,deterministic_lns,assignment_milp,12,9,11,0.0,0.0,0.0,-12.218663153888693,-15.624379230045092,-8.36001546151262,0.00390625,0.0859375
ood_resource_bottleneck,greedy,assignment_milp,12,9,11,0.041666666666666664,0.0,0.125,5.863548372551962,1.088082573296901,10.603393321355876,0.07421875,0.59375
ood_resource_bottleneck,hungarian,assignment_milp,12,9,11,0.041666666666666664,0.0,0.125,0.7717254809091811,-0.6095242196779487,2.365224076201913,0.49609375,1.0
ood_resource_bottleneck,load_balanced,assignment_milp,12,9,11,0.0,0.0,0.0,-5.491110310345476,-8.379093311627898,-1.7482662302284369,0.02734375,0.41015625
ood_resource_bottleneck,assignment_milp,deterministic_lns,12,9,11,0.0,0.0,0.0,12.218663153888693,8.552825017581528,15.453190585941229,0.00390625,0.0859375
ood_resource_bottleneck,greedy,deterministic_lns,12,9,11,0.041666666666666664,0.0,0.125,18.082211526440656,14.217157410849303,23.086997827923916,0.00390625,0.0859375
ood_resource_bottleneck,hungarian,deterministic_lns,12,9,11,0.041666666666666664,0.0,0.125,12.990388634797874,9.368310964076743,16.63708257241893,0.00390625,0.0859375
ood_resource_bottleneck,load_balanced,deterministic_lns,12,9,11,0.0,0.0,0.0,6.727552843543216,5.336138182479831,8.129176297000685,0.00390625,0.0859375
ood_scale,deterministic_lns,assignment_milp,12,1,2,-0.041666666666666664,-0.125,0.0,-19.095688512214167,-19.095688512214167,-19.095688512214167,,
ood_scale,greedy,assignment_milp,12,1,1,-0.08333333333333333,-0.20833333333333334,0.0,9.06470493950799,9.06470493950799,9.06470493950799,,
ood_scale,hungarian,assignment_milp,12,2,3,0.0,0.0,0.0,4.734134123330726,-1.2449703517980737,10.713238598459526,,
ood_scale,load_balanced,assignment_milp,12,1,2,-0.041666666666666664,-0.125,0.0,-6.191573213361387,-6.191573213361387,-6.191573213361387,,
ood_scale,assignment_milp,deterministic_lns,12,1,2,0.041666666666666664,0.0,0.125,19.095688512214167,19.095688512214167,19.095688512214167,,
ood_scale,greedy,deterministic_lns,12,1,1,-0.041666666666666664,-0.125,0.0,18.473438837458175,18.473438837458175,18.473438837458175,,
ood_scale,hungarian,deterministic_lns,12,1,2,0.041666666666666664,0.0,0.125,29.808927110673693,29.808927110673693,29.808927110673693,,
ood_scale,load_balanced,deterministic_lns,12,1,2,0.0,0.0,0.0,12.90411529885278,12.90411529885278,12.90411529885278,,
ood_tight_windows,deterministic_lns,assignment_milp,12,2,2,0.0,0.0,0.0,-11.857659414426184,-12.299208371694235,-11.416110457158133,,
ood_tight_windows,greedy,assignment_milp,12,1,1,0.0,-0.125,0.125,3.3454422640306447,3.3454422640306447,3.3454422640306447,,
ood_tight_windows,hungarian,assignment_milp,12,2,2,0.041666666666666664,0.0,0.125,2.7139263508008113,-6.639165741810814,12.067018443412437,,
ood_tight_windows,load_balanced,assignment_milp,12,2,2,0.0,0.0,0.0,4.218706292771813,1.081894459191446,7.35551812635218,,
ood_tight_windows,assignment_milp,deterministic_lns,12,2,2,0.0,0.0,0.0,11.857659414426184,11.416110457158133,12.299208371694235,,
ood_tight_windows,greedy,deterministic_lns,12,1,1,0.0,-0.125,0.125,15.64465063572488,15.64465063572488,15.64465063572488,,
ood_tight_windows,hungarian,deterministic_lns,12,2,2,0.041666666666666664,0.0,0.125,14.571585765226995,5.660042629883421,23.48312890057057,,
ood_tight_windows,load_balanced,deterministic_lns,12,2,2,0.0,0.0,0.0,16.076365707197997,13.38110283088568,18.771628583510314,,
