split,cell_id,method,groups,instances,verified_instances,group_verified_rate,group_verified_ci_low,group_verified_ci_high,conditional_mean_score,median_runtime_s,runtime_q1_s,runtime_q3_s
frozen_test,iid_small,hybrid_assignment_milp,12,24,24,1.0,1.0,1.0,34.061509879691904,0.010365130379796028,0.006870686542242765,0.0496559520252049
frozen_test,iid_small,hybrid_load_balanced,12,24,24,1.0,1.0,1.0,38.018155658491104,0.006428338587284088,0.005575645249336958,0.00683141965419054
frozen_test,iid_small,load_balanced,12,24,24,1.0,1.0,1.0,38.400002573093246,0.005984392948448658,0.005209881812334061,0.006383348256349564
frozen_test,iid_small,order_aware_lns,12,24,24,1.0,1.0,1.0,30.53974628800855,0.21256847400218248,0.1847100304439664,0.24138796795159578
frozen_test,ood_dense_precedence,assignment_milp,12,24,13,0.5416666666666666,0.4166666666666667,0.6666666666666666,150.31584831093838,1.5789967747405171,0.5886777397245169,3.0224161576479673
frozen_test,ood_dense_precedence,deterministic_lns,12,24,13,0.5416666666666666,0.4166666666666667,0.6666666666666666,126.79634268007844,0.43800306133925915,0.03563845856115222,0.49046671483665705
frozen_test,ood_dense_precedence,edge_mlp_seed_17,12,24,9,0.375,0.16666666666666666,0.5833333333333334,142.28199562423285,0.004520186223089695,0.003920267801731825,0.007151935715228319
frozen_test,ood_dense_precedence,edge_mlp_seed_29,12,24,10,0.4166666666666667,0.25,0.625,138.16947505026926,0.004522703588008881,0.0035981773398816586,0.007143246475607157
frozen_test,ood_dense_precedence,edge_mlp_seed_43,12,24,10,0.4166666666666667,0.25,0.5833333333333334,142.7333709928854,0.004445352591574192,0.0037799691781401634,0.007212304975837469
frozen_test,ood_dense_precedence,greedy,12,24,13,0.5416666666666666,0.4166666666666667,0.6666666666666666,150.80121126940045,0.02239839266985655,0.01753692841157317,0.023413474205881357
frozen_test,ood_dense_precedence,hungarian,12,24,13,0.5416666666666666,0.4166666666666667,0.6666666666666666,146.2551465935111,0.024363022297620773,0.019060298800468445,0.026414120104163885
frozen_test,ood_dense_precedence,hybrid_assignment_milp,12,24,16,0.6666666666666666,0.5416666666666666,0.7916666666666666,165.62810762283124,1.5796378841623664,0.5878928224556148,3.0243878797627985
frozen_test,ood_dense_precedence,hybrid_load_balanced,12,24,16,0.6666666666666666,0.5416666666666666,0.7916666666666666,167.43075034339395,0.02370499726384878,0.020915322937071323,0.026601369958370924
frozen_test,ood_dense_precedence,load_balanced,12,24,13,0.5416666666666666,0.4166666666666667,0.6666666666666666,146.11098483298176,0.022343171760439873,0.017581133171916008,0.023516274988651276
frozen_test,ood_dense_precedence,order_aware_lns,12,24,20,0.8333333333333334,0.7083333333333334,0.9583333333333334,142.41910615111067,0.6044205036014318,0.3552649421617389,0.7813591989688575
frozen_test,ood_resource_bottleneck,assignment_milp,12,24,13,0.5416666666666666,0.375,0.7083333333333334,165.84560189709745,1.5995147814974189,0.703994614072144,2.6945074750110507
frozen_test,ood_resource_bottleneck,deterministic_lns,12,24,13,0.5416666666666666,0.3333333333333333,0.75,144.78698828478605,0.4665343966335058,0.03529984038323164,0.5737061272375286
frozen_test,ood_resource_bottleneck,edge_mlp_seed_17,12,24,14,0.5833333333333334,0.375,0.7916666666666666,153.98747596844893,0.00738349836319685,0.0048645720817148685,0.00893166521564126
frozen_test,ood_resource_bottleneck,edge_mlp_seed_29,12,24,14,0.5833333333333334,0.375,0.7916666666666666,148.2041438942614,0.007327917031943798,0.004299331922084093,0.008659294806420803
frozen_test,ood_resource_bottleneck,edge_mlp_seed_43,12,24,15,0.625,0.4166666666666667,0.8333333333333334,144.22723246186774,0.007861226797103882,0.004005268681794405,0.008925952482968569
frozen_test,ood_resource_bottleneck,greedy,12,24,13,0.5416666666666666,0.375,0.7083333333333334,177.7051380265,0.022962507791817188,0.018232311122119427,0.025585669092833996
frozen_test,ood_resource_bottleneck,hungarian,12,24,12,0.5,0.2916666666666667,0.7083333333333334,161.39675878357195,0.024700270034372807,0.018226804211735725,0.028020009398460388
frozen_test,ood_resource_bottleneck,hybrid_assignment_milp,12,24,21,0.875,0.75,1.0,186.04419752103746,1.6024975823238492,0.7102160034701228,2.704909044317901
frozen_test,ood_resource_bottleneck,hybrid_load_balanced,12,24,20,0.8333333333333334,0.7083333333333334,0.9583333333333334,198.1623922032816,0.027511226944625378,0.02539329743012786,0.030409921426326036
frozen_test,ood_resource_bottleneck,load_balanced,12,24,13,0.5416666666666666,0.3333333333333333,0.75,166.00045728391493,0.023093211464583874,0.018252032343298197,0.025757725816220045
frozen_test,ood_resource_bottleneck,order_aware_lns,12,24,22,0.9166666666666666,0.7916666666666666,1.0,157.55389370603856,0.8516363687813282,0.7520945379510522,0.9940517107024789
frozen_test,ood_scale,assignment_milp,12,24,4,0.16666666666666666,0.041666666666666664,0.2916666666666667,231.0672689529606,3.041284737177193,3.0340409679338336,3.0452813524752855
frozen_test,ood_scale,deterministic_lns,12,24,4,0.16666666666666666,0.041666666666666664,0.2916666666666667,193.5335799874768,0.07418971415609121,0.06496098730713129,0.08224593754857779
frozen_test,ood_scale,edge_mlp_seed_17,12,24,4,0.16666666666666666,0.041666666666666664,0.2916666666666667,211.33779620413574,0.0065212734043598175,0.0057085189037024975,0.007355247624218464
frozen_test,ood_scale,edge_mlp_seed_29,12,24,4,0.16666666666666666,0.041666666666666664,0.2916666666666667,222.04183210545906,0.0065871113911271095,0.005731130484491587,0.006998357363045216
frozen_test,ood_scale,edge_mlp_seed_43,12,24,3,0.125,0.0,0.25,221.24370246371882,0.006232720799744129,0.005305740050971508,0.0066282120533287525
frozen_test,ood_scale,greedy,12,24,3,0.125,0.0,0.25,241.91395848771097,0.036764269694685936,0.032655063550919294,0.039898278657346964
