split,cell_id,method,groups,instances,verified_instances,group_verified_rate,group_verified_ci_low,group_verified_ci_high,median_runtime_s,runtime_q1_s,runtime_q3_s,conditional_mean_score,conditional_mean_makespan_s,conditional_mean_load_variance_s2,conditional_mean_travel_setup_time_s
frozen_test,iid_small,hybrid_load_balanced,12,24,24,1.0,1.0,1.0,0.005757540988270193,0.004844575480092317,0.006112765477155335,38.018155658491104,33.96269659429266,23.227948235404522,28.940616524282145
frozen_test,iid_small,load_balanced,12,24,24,1.0,1.0,1.0,0.0052530640095938,0.004419875986059196,0.005625991761917248,38.400002573093246,34.45575102273124,23.227948235404522,27.828541385917756
frozen_test,iid_small,order_aware_lns,12,24,24,1.0,1.0,1.0,0.23270415401202627,0.2012731260037981,0.26581267347501125,30.53974628800855,27.7630438532436,7.605017393027522,23.964515651135716
frozen_test,ood_dense_precedence,assignment_milp,12,24,13,0.5416666666666666,0.4166666666666667,0.6666666666666666,1.2322210115089547,0.6950941067043459,2.0434842925023986,148.09449331287473,142.65278345727222,14.047985893756026,47.39310560914694
frozen_test,ood_dense_precedence,deterministic_lns,12,24,13,0.5416666666666666,0.4166666666666667,0.6666666666666666,0.4745058900152799,0.03923515671340283,0.5330396837816807,126.79634268007844,120.29128996058388,11.980538826037751,59.06025778192674
frozen_test,ood_dense_precedence,greedy,12,24,13,0.5416666666666666,0.4166666666666667,0.6666666666666666,0.021100083977216855,0.017282233020523563,0.025018903019372374,150.80121126940045,143.45977963867225,74.3493273019087,36.239652656327586
frozen_test,ood_dense_precedence,hungarian,12,24,13,0.5416666666666666,0.4166666666666667,0.6666666666666666,0.023531504964921623,0.019649660476716235,0.027738412958569825,146.2551465935111,141.04809597362265,11.809892834099246,46.16555978183497
frozen_test,ood_dense_precedence,hybrid_assignment_milp,12,24,16,0.6666666666666666,0.5416666666666666,0.7916666666666666,1.235539515997516,0.6936753395129927,2.0442160397506086,167.10861587276045,160.5918372551796,14.203187097668417,58.06619262697438
frozen_test,ood_dense_precedence,hybrid_load_balanced,12,24,16,0.6666666666666666,0.5416666666666666,0.7916666666666666,0.02272145648021251,0.020348216232378036,0.026707418015575968,167.43075034339395,158.57351122753698,18.972524467665398,79.08612892473688
frozen_test,ood_dense_precedence,load_balanced,12,24,13,0.5416666666666666,0.4166666666666667,0.6666666666666666,0.02109720345470123,0.017257570754736662,0.02459685849316884,146.11098483298176,138.55698376085326,18.747460677852892,66.16628038235858
frozen_test,ood_dense_precedence,order_aware_lns,12,24,20,0.8333333333333334,0.7083333333333334,0.9583333333333334,0.6533322960312944,0.377378449527896,0.8403831722389441,142.41910615111067,134.45069788986407,12.733683041421315,73.31724109175543
frozen_test,ood_resource_bottleneck,assignment_milp,12,24,14,0.5833333333333334,0.375,0.75,1.4961811210087035,0.7176356507698074,2.2554166102345334,165.81733680312544,160.59176904206535,10.586112457452435,46.96262138187487
frozen_test,ood_resource_bottleneck,deterministic_lns,12,24,13,0.5416666666666666,0.3333333333333333,0.75,0.5050350649980828,0.03858113574096933,0.6224834929889766,144.78698828478605,138.5667020708821,12.19766541155806,56.104029433260656
frozen_test,ood_resource_bottleneck,greedy,12,24,13,0.5416666666666666,0.375,0.7083333333333334,0.021557832485996187,0.019638357785879634,0.024375232969759963,177.7051380265,165.1550321465218,177.71139594062998,36.645360829467215
frozen_test,ood_resource_bottleneck,hungarian,12,24,12,0.5,0.2916666666666667,0.7083333333333334,0.024536575481761247,0.020529201268800534,0.027618794032605365,161.39675878357195,156.07562180163237,11.49604788146968,47.46334587866121
frozen_test,ood_resource_bottleneck,hybrid_assignment_milp,12,24,21,0.875,0.75,1.0,1.5022908625251148,0.7295299672405235,2.3172612917405786,185.6106418076133,178.6915901112825,11.958914399213118,63.21105976370123
frozen_test,ood_resource_bottleneck,hybrid_load_balanced,12,24,20,0.8333333333333334,0.7083333333333334,0.9583333333333334,0.0268493564799428,0.024771328986389562,0.029402030719211325,198.1623922032816,188.30867669643402,15.857011768486638,90.60864918423258
frozen_test,ood_resource_bottleneck,load_balanced,12,24,13,0.5416666666666666,0.3333333333333333,0.75,0.021757067501312122,0.019836284525808878,0.024679509981069714,166.00045728391493,158.8617102842538,15.869614921968775,63.45266253562684
frozen_test,ood_resource_bottleneck,order_aware_lns,12,24,22,0.9166666666666666,0.7916666666666666,1.0,0.9435047364968341,0.8265508062613662,1.0956203429668676,157.55389370603856,149.13742405665653,18.183088022145224,75.07315248274782
frozen_test,ood_scale,assignment_milp,12,24,3,0.125,0.0,0.25,3.049598468001932,3.042897682491457,3.052125876536593,222.81323351698808,216.59392210392474,8.966062573810243,57.710082843728514
frozen_test,ood_scale,deterministic_lns,12,24,4,0.16666666666666666,0.041666666666666664,0.2916666666666667,0.08440447802422568,0.07196488029148895,0.0940866832388565,193.5335799874768,183.4946847357337,21.118087619990607,89.82990870743551
frozen_test,ood_scale,greedy,12,24,3,0.125,0.0,0.25,0.04100239998660982,0.03590254424489103,0.04658251725777518,241.91395848771097,231.16901337856112,125.58699636328792,44.65595290985458
frozen_test,ood_scale,hungarian,12,24,3,0.125,0.0,0.25,0.05266832798952237,0.043218345221248455,0.057327157992403954,228.87553301745882,222.64673837641772,8.410315503220385,58.08278865880083
frozen_test,ood_scale,hybrid_assignment_milp,12,24,10,0.4166666666666667,0.20833333333333334,0.6666666666666666,3.0501109044707846,3.04558636850561,3.05840753747907,274.2600161029163,263.9908357229839,11.277312536118178,97.05314753126564
frozen_test,ood_scale,hybrid_load_balanced,12,24,9,0.375,0.16666666666666666,0.625,0.0444048710342031,0.04108877477119677,0.04915973775496241,288.74759940790244,272.95460318009873,17.874620973005396,148.99265179153429
frozen_test,ood_scale,load_balanced,12,24,4,0.16666666666666666,0.041666666666666664,0.2916666666666667,0.04141673550475389,0.036250344288419,0.04646265726478305,220.6307608437234,210.40770373256194,13.111637920829065,95.67475215120024
frozen_test,ood_scale,order_aware_lns,12,24,12,0.5,0.2916666666666667,0.7083333333333334,0.7650326024740934,0.4210444697237108,1.482347158511402,247.03267391539174,232.8190441482487,21.297070638263676,131.4877623522987
frozen_test,ood_tight_windows,assignment_milp,12,24,4,0.16666666666666666,0.041666666666666664,0.2916666666666667,1.106180881470209,0.39774843024497386,1.5674021864833776,115.2617895336749,110.31394086366849,8.4497654043947,45.25360399786668
frozen_test,ood_tight_windows,deterministic_lns,12,24,4,0.16666666666666666,0.041666666666666664,0.2916666666666667,0.032520644017495215,0.0285774302756181,0.03904527548002079,102.94679149018768,97.63978086020329,1.6927364430910918,52.22373807829833
frozen_test,ood_tight_windows,greedy,12,24,4,0.16666666666666666,0.041666666666666664,0.2916666666666667,0.016078710497822613,0.014552635737345554,0.017751859020791017,119.24867020086091,113.92528789131295,29.439912530357212,38.51386683030111
